"name","description",lat,lon
"Agence asm","91 rue du faubourg saint honore  75008 paris 8ème 75008
06 14 35 12 52",48.871989,2.31304
"Agence atmosphere","18 rue benjamin franklin  75116 paris 75116
01 45 25 22 25",48.860099,2.285827
"Agence auburtin immobilier","24 rue de la chapelle  75018 paris 18ème 75018
01 40 37 56 62",48.891879,2.359984
"Agence belles feuilles","13 rue des belles feuilles  75116 paris 16eme 75116
01 45 53 00 78",48.866259,2.282503
"Agence bellissimmo","44 avenue des gobelins 75013 paris 75013
01 45 87 00 10",48.83448,2.353162
"Agence brick's et conseils","45 rue linois  75015 paris 75015
01 45 77 00 17",48.847245,2.285113
"Agence c l'immobilier","13 rue eugène carrière  75018 paris 75018
01 42 58 53 77",48.889742,2.332568
"Agence c3a","50 rue des moines 75017 paris 75017
01 58 59 02 46",48.889846,2.320457
"Agence cambronne","35 rue de la croix nivert  75015 paris 15ème 75015
01 47 34 69 18",48.846142,2.299126
"Agence capital's immo","76 rue de belleville  75020 paris 20ème 75020
06 60 52 17 17",48.873536,2.384006
"Agence caractere","50 rue de turenne  75003 paris 75003
01 44 61 05 00",48.858283,2.364595
"Agence catherine gheron / ecif","21 rue caillaux  75013 paris 13eme 75013
01 46 42 49 80",48.822389,2.360174
"Agence champaubert","82 avenue de suffren  75015 paris 75015
01 40 56 07 07",48.851364,2.300326
"Agence co par t immo","67 rue marcadet 75018 paris 75018
01 42 59 05 90",48.890337,2.348052
"Agence concept immobilier","22 rue jean giraudoux  75016 paris 75016
01 45 53 42 25",48.869551,2.296722
"Agence david courcelles","71 bd de courcelles  75008 paris 75008
01 47 63 08 08",48.878604,2.301384
"Agence david gestion","44 rue custine  75018 paris 75018
01 42 54 04 00",48.889153,2.345602
"Agence de carné","100 rue vaugirard  75006 paris 75006
01 42 22 50 00",48.846324,2.324221
"Agence de la  mairie","157 avenue daumesnil 75012 paris 75012
01 43 41 88 59",48.841412,2.388529
"Agence de la capitale","83 rue chardon lagache  75016 paris 16eme 75016
01 44 14 68 70",48.840946,2.263666
"Agence de montmorency","71 rue de la pompe 75116 paris 75116
06 64 32 06 53",48.863257,2.276517
"Agence des ambassades","32 boulevard malesherbes  75008 paris 75008
01 42 65 18 83",48.873638,2.320978
"Agence des batignolles","16 rue des dames  75017 paris 75017
01 44 90 03 94",48.885164,2.32526
"Agence des champs elysees","11 rue colisee  75008 paris 75008
01 42 25 32 25",48.870591,2.307767
"Agence des prés carrés","39 rue grenelle  75007 paris 75007
01 53 63 00 63",48.854061,2.326684
"Agence des victoires","41 rue coquilliere  75001 paris 75001
01 40 41 02 42",48.864548,2.34075
"Agence direct gestion","105b rue de tolbiac  75013 paris 13ème 75013
01 42 71 06 06",48.82658,2.364742
"Agence domicile","18 rue yvonne le tac  75018 paris 75018
01 42 54 06 98",48.884196,2.340037
"Agence ds immobilier","3 rue didot  75014 paris 14ème 75014
01 45 42 20 00",48.834055,2.322001
"Agence du canal","12 rue beaurepaire  75010 paris 75010
01 42 02 02 33",48.869701,2.363659
"Agence du cap","12 rue de saintonge  75003 paris 75003
01 42 74 50 06",48.861567,2.3623
"Agence du chalet","77t rue de la tombe issoire  75014 paris 75014
01 43 27 04 04",48.828083,2.332805
"Agence du faubourg poissonniere","132 rue fbg poissonniere  75010 paris 75010
01 42 81 99 72 / 01 44 63 58 58",48.880387,2.349874
"Agence du louvre","52 rue de l'arbre sec  75001 paris 75001
01 40 20 90 00",48.860934,2.34258
"Agence du mont-louis","7 rue delaitre  75020 paris 20ème 75020
01 43 58 29 90",48.867351,2.387371
"Agence du musée","231 rue saint honore 75001 paris 1er 75001
01 42 78 08 02",48.866223,2.329201
"Agence du parc monceau","14b avenue foch  75008 paris 8ème 75016
01 42 27 58 30",48.874023,2.290966
"Agence du parking","42 rue damrémont  75018 paris 75018
01 42 62 96 42",48.889693,2.333888
"Agence dufour et boutant associes","73 75 rue raymond losserand  75014 paris 14eme 75014
01 40 52 02 02",48.83406,2.318467
"Agence dupleix","18 rue de lourmel  75015 paris 75015
01 45 79 76 76",48.849636,2.291347
"Agence duroc","27 rue pierre leroux  75007 paris 75007
01 45 66 76 14",48.848402,2.319575
"Agence elico immobilier","36 rue pouchet  75017 paris 17ème 75017
06 74 95 91 97",48.893441,2.320114
"Agence era st sulpice","68 rue de vaugirard  75006 paris 75006
01 53 63 05 23",48.848237,2.330818
"Agence et vous","2 rue sadi lecointe  75019 paris 19ème 75019
06 63 70 57 53",48.880653,2.373189
"Agence etoile","03 bd de magenta  75010 paris 75010
01 44 52 57 57",48.869482,2.361916
"Agence faisanderie immobilier","96 rue de la faisanderie  75116 paris 75116
01 45 03 40 40",48.86629,2.27415
"Agence farvene","18 rue de bruxelles  75009 paris 75009
01 46 07 11 36",48.883445,2.330861
"Agence fbi voltaire  immobilier","3 place leon blum  75011 paris 75011
01 43 73 00 30",48.857742,2.379418
"Agence fidim","77 79 rue championnet  75018 paris 75018
01 42 51 21 21",48.895742,2.34394
"Agence florence lauret","28 boulevard malesherbes  75008 paris 8ème 75008
01 44 55 38 38",48.873247,2.321251
"Agence fur","18, avenue de villiers  75017 paris 75017
01 44 40 49 23",48.882097,2.313532
"Agence gambetta","5 rue du cambodge 75020 paris 75020
01 40 33 84 64",48.865698,2.39853
"Agence gerloge","33 boulevard berthier  75017 paris 75017
01 42 27 82 07",48.888001,2.300091
"Agence gestiva","3 rue isabey 75016 paris 75016
01 40 50 95 97",48.848341,2.263515
"Agence gif","28 avenue theophile gautier  75016 paris 16eme 75016
01 40 50 17 33",48.850095,2.272363
"Agence gif","77 boulevard exelmans  75016 paris 75016
01 46 51 66 96",48.843306,2.259442
"Agence guy hoquet charonne","22 rue d'avron  75020 paris 75020
01 44 64 01 00",48.851607,2.400452
"Agence haussmann","95 boulevard haussmann  75008 paris 75008
01 40 06 00 50",48.874798,2.318355
"Agence horizon","15 rue godefroy cavaignac  75011 paris 11ème 75011
01 43 71 10 54",48.854796,2.381352
"Agence icogest","354 rue saint honoré  75001 paris 75001
01 42 60 39 41",48.866465,2.329074
"Agence immo avenir","114 avenue flandre  75019 paris 19ème 75019
01 40 35 45 55",48.891957,2.378837
"Agence immobiliere bureau d'etudes et realisations","8 boulevard saint marcel  75005 paris 5ème 75005
01 43 37 88 14",48.839879,2.360934
"Agence immobilière du 20ème","56 bd menilmontant  75020 paris 75020
01 40 33 00 03",48.863544,2.387139
"Agence immobiliere la tour","108 rue de la tour  75016 paris 75016
01 45 03 30 70",48.862659,2.276726
"Agence immobiliere lamarck","80 rue lamarck 75018 paris 75018
01 42 55 66 18",48.890096,2.338155
"Agence immobiliere pierre hedim","19 avenue de messine  75008 paris 75008
01 53 53 97 97",48.876745,2.311853
"Agence immobiliere trocadero","23 rue des belles feuilles  75016 paris 75016
01 56 26 59 59",48.866659,2.282125
"Agence immofidès","3 rue pache  75011 paris 75011
01 43 70 16 05",48.858426,2.382127
"Agence immosoult","103 bld soult  75012 paris 75012
01 43 45 55 66",48.843061,2.409624
"Agence immosphere","92 rue des entrepreneurs  75015 paris 75015
01 43 92 90 90",48.844052,2.291897
"Agence immotep","15 rue brey  75017 paris 17ème 75017
01 45 72 44 91",48.876551,2.295592
"Agence in situ","89 rue la boetie  75008 paris 8ème 75008
01 44 63 17 14 / 06 62 50 68 00",48.871716,2.308278
"Agence internationale mercure paris","14b avenue bosquet  75007 paris 75007
01 47 53 97 00",48.859674,2.302825
"Agence laforet immobiler paris 11","148 bld voltaire  75011 paris 75011
01 71 18 33 00",48.856383,2.382194
"Agence laforet immobilier paris 12 daumesnil","240 rue de charenton  75012 paris 12ème 75012
01 55 78 83 10",48.838497,2.389625
"Agence leroy","68 rue de babylone  75007 paris 7ème 75007
01 47 05 50 50",48.851819,2.316627
"Agence lil-orsay","14 rue de normandie  75003 paris 75003
01 42 77 45 01",48.863988,2.363978
"Agence littre","41 rue madame  75006 paris 75006
01 45 44 44 45",48.848963,2.331787
"Agence loyer","67 rue de la tour  75116 paris 75116
01 40 72 61 16",48.861287,2.279041
"Agence ls","15 rue daumier  75016 paris 75016
01 45 20 48 18",48.839473,2.263488
"Agence mandar - espace immo","8 rue mandar  75002 paris 75002
01 42 33 50 27",48.865671,2.346082
"Agence manestel","27 rue de longchamp 75116 75116
01 43 44 02 32",48.864919,2.29031
"Agence martine immobilier","34 rue daguerre  75014 paris 75014
01 43 20 26 35",48.834402,2.328602
"Agence menilmontant","87 rue menilmontant  75020 paris 75020
01 46 36 96 18",48.868934,2.390454
"Agence mg immobilier","47 rue vaneau  75007 paris 75007
01 42 22 98 70",48.851256,2.319325
"Agence micot","6 rue taine 75012 paris 75012
01 43 44 43 87",48.837651,2.391932
"Agence nachimmo","203 ave daumesnil  75012 paris 75012
01 56 95 49 00",48.83906,2.397599
"Agence nisso immobilier","48 rue de la sablière 75014 paris 75014
01 45 25 03 34",48.832319,2.321315
"Agence paris maillot","24 boulevard gouvion saint-cyr  75017 paris 17ème 75017
01 45 74 56 31",48.883788,2.288331
"Agence paris seine cherche midi","59 rue du cherche midi  75006 paris 75006
01 45 44 66 00",48.848407,2.324505
"Agence paris seine saint honore","49 rue saint roch  75001 paris 1er 75001
01 42 60 77 77",48.866663,2.333029
"Agence paris-est transactions","147 rue oberkampf  75011 paris 75011
01 47 00 11 09",48.866832,2.381335
"Agence pariszen","29 rue boulard  75014 paris 14ème 75014
06 25 32 64 45",48.833389,2.328646
"Agence porte doree","274 avenue de daumesnil  75012 paris 12ème 75012
01 71 19 44 70",48.835777,2.405362
"Agence prestige immobiliere","59 rue lamarck  75018 paris 75018
01 42 62 51 88",48.889962,2.338194
"Agence principale","14 rue damremont  75018 paris 18ème 75018
01 53 09 31 00",48.888033,2.332861
"Agence prodi","54 boulevard diderot  75012 paris 75012
01 43 41 32 16",48.846397,2.379736
"Agence saint germain immobilier","49 rue mazarine  75006 paris 75006
01 40 51 05 80",48.853916,2.338383
